iter	Passed	Remaining
0	167	167332
1	169	84574
2	171	56905
3	172	43040
4	174	34714
5	176	29193
6	178	25258
7	179	22301
8	181	20036
9	184	18227
10	185	16707
11	187	15441
12	189	14363
13	190	13437
14	192	12640
15	194	11943
16	195	11327
17	197	10777
18	199	10293
19	201	9854
20	202	9452
21	204	9086
22	206	8752
23	207	8449
24	209	8169
25	211	7907
26	212	7672
27	214	7448
28	216	7238
29	218	7051
30	219	6873
31	221	6705
32	223	6544
33	224	6391
34	226	6253
35	228	6122
36	230	5993
37	231	5871
38	233	5756
39	235	5648
40	236	5541
41	238	5442
42	240	5345
43	242	5260
44	243	5171
45	245	5091
46	247	5012
47	248	4935
48	250	4860
49	252	4792
50	254	4727
51	255	4664
52	257	4600
53	259	4539
54	260	4481
55	262	4421
56	263	4367
57	265	4313
58	267	4266
59	269	4220
60	271	4173
61	272	4126
62	274	4080
63	275	4036
64	277	3992
65	279	3951
66	280	3910
67	281	3861
68	283	3824
69	285	3788
70	286	3751
71	288	3715
72	289	3680
73	291	3646
74	292	3612
75	294	3581
76	296	3550
77	297	3519
78	299	3494
79	301	3465
80	302	3435
81	304	3409
82	306	3383
83	307	3356
84	308	3324
85	310	3304
86	311	3274
87	313	3251
88	315	3227
89	316	3204
90	318	3182
91	320	3159
92	321	3137
93	323	3115
94	324	3094
95	326	3073
96	328	3053
97	329	3035
98	331	3016
99	333	2997
100	334	2980
101	335	2955
102	337	2938
103	339	2921
104	340	2905
105	342	2887
106	344	2872
107	345	2856
108	347	2839
109	349	2824
110	350	2807
111	352	2792
112	353	2777
113	355	2761
114	356	2746
115	358	2731
116	360	2717
117	361	2703
118	362	2686
119	364	2672
120	366	2659
121	368	2650
122	369	2632
123	370	2620
124	373	2611
125	375	2601
126	377	2592
127	378	2578
128	380	2570
129	382	2560
130	384	2553
131	386	2544
132	388	2535
133	390	2525
134	392	2515
135	394	2506
136	396	2497
137	397	2483
138	399	2471
139	400	2460
140	402	2449
141	403	2438
142	404	2426
143	406	2415
144	408	2406
145	409	2395
146	411	2385
147	412	2374
148	413	2364
149	415	2354
150	416	2344
151	418	2334
152	419	2325
153	421	2315
154	422	2305
155	424	2295
156	425	2286
157	427	2276
158	428	2267
159	430	2257
160	431	2248
161	432	2239
162	434	2230
163	436	2223
164	437	2215
165	439	2206
166	440	2198
167	442	2189
168	443	2181
169	444	2172
170	446	2165
171	448	2157
172	449	2148
173	450	2140
174	452	2132
175	453	2124
176	455	2116
177	456	2108
178	458	2100
179	459	2092
180	460	2082
181	461	2075
182	463	2069
183	465	2064
184	467	2058
185	468	2051
186	470	2045
187	472	2038
188	473	2032
189	475	2025
190	477	2020
191	478	2014
192	480	2008
193	481	2001
194	483	1995
195	485	1989
196	486	1983
197	488	1977
198	489	1971
199	491	1967
200	493	1961
201	495	1955
202	496	1950
203	498	1945
204	500	1940
205	502	1936
206	504	1933
207	506	1928
208	507	1922
209	509	1917
210	511	1912
211	513	1908
212	515	1903
213	516	1898
214	518	1892
215	519	1887
216	521	1883
217	524	1880
218	526	1876
219	527	1871
220	529	1866
221	531	1862
222	532	1856
223	534	1852
224	536	1847
225	538	1843
226	539	1838
227	541	1834
228	543	1829
229	544	1823
230	546	1819
231	548	1815
232	550	1811
233	552	1807
234	554	1803
235	555	1799
236	557	1795
237	559	1790
238	560	1786
239	562	1781
240	564	1777
241	566	1773
242	568	1769
243	569	1765
244	571	1760
245	573	1756
246	574	1751
247	576	1748
248	578	1744
249	580	1740
250	581	1736
251	583	1732
252	585	1728
253	587	1724
254	589	1721
255	590	1717
256	592	1712
257	594	1708
258	595	1704
259	597	1700
260	599	1696
261	600	1692
262	602	1688
263	604	1684
