iter	Passed	Remaining
0	166	165894
1	167	83793
2	169	56377
3	171	42627
4	172	34385
5	174	28928
6	176	25018
7	178	22073
8	179	19762
9	180	17907
10	182	16427
11	184	15159
12	185	14091
13	187	13171
14	188	12393
15	190	11709
16	192	11107
17	193	10569
18	195	10093
19	197	9657
20	198	9266
21	200	8907
22	202	8584
23	203	8289
24	205	8017
25	207	7760
26	208	7527
27	210	7305
28	211	7098
29	213	6904
30	215	6725
31	216	6564
32	218	6412
33	220	6266
34	222	6126
35	223	5990
36	225	5863
37	226	5743
38	228	5629
39	230	5524
40	231	5425
41	233	5326
42	235	5232
43	236	5143
44	238	5056
45	239	4974
46	241	4894
47	242	4818
48	244	4746
49	246	4675
50	247	4605
51	248	4538
52	250	4473
53	251	4414
54	253	4358
55	255	4303
56	256	4251
57	259	4207
58	260	4160
59	262	4112
60	264	4066
61	265	4020
62	267	3978
63	269	3936
64	270	3892
65	272	3849
66	273	3810
67	275	3772
68	276	3735
69	278	3698
70	279	3662
71	281	3629
72	283	3595
73	284	3563
74	286	3530
75	287	3501
76	289	3470
77	291	3441
78	292	3413
79	294	3384
80	295	3356
81	297	3329
82	298	3295
83	299	3269
84	301	3243
85	303	3220
86	304	3197
87	306	3174
88	307	3152
89	309	3130
90	311	3108
91	312	3085
92	314	3064
93	315	3043
94	317	3023
95	319	3005
96	320	2985
97	322	2968
98	324	2950
99	325	2931
100	327	2913
101	328	2894
102	330	2876
103	331	2859
104	333	2844
105	335	2831
106	337	2817
107	339	2802
108	340	2785
109	342	2768
110	343	2752
111	345	2736
112	346	2719
113	347	2704
114	349	2689
115	350	2674
116	352	2656
117	353	2641
118	354	2625
119	355	2610
120	357	2595
121	358	2579
122	359	2565
123	361	2551
124	363	2541
125	364	2530
126	366	2517
127	368	2507
128	369	2498
129	371	2487
130	373	2478
131	375	2469
132	377	2460
133	379	2451
134	380	2439
135	382	2427
136	383	2416
137	384	2404
138	386	2392
139	387	2381
140	389	2370
141	389	2356
142	391	2346
143	393	2337
144	394	2326
145	396	2316
146	397	2306
147	398	2296
148	400	2286
149	401	2276
150	403	2268
151	404	2259
152	406	2250
153	408	2242
154	409	2233
155	411	2225
156	412	2216
157	414	2206
158	415	2197
159	416	2188
160	417	2176
161	419	2167
162	420	2159
163	421	2150
164	423	2142
165	424	2133
166	425	2124
167	427	2115
168	428	2107
169	429	2098
170	431	2090
171	432	2082
172	433	2074
173	435	2066
174	436	2059
175	438	2051
176	439	2044
177	441	2036
178	442	2028
179	443	2021
180	445	2013
181	446	2006
182	447	1998
183	448	1991
184	450	1984
185	451	1977
186	453	1970
187	454	1963
188	456	1957
189	457	1950
190	458	1944
191	460	1937
192	461	1930
193	463	1923
194	464	1917
195	466	1912
196	467	1906
197	469	1900
198	470	1894
199	472	1888
200	473	1882
201	475	1876
202	476	1870
203	477	1864
204	479	1858
205	481	1854
206	482	1848
207	484	1843
208	485	1838
209	487	1833
210	488	1828
211	490	1822
212	491	1817
213	493	1811
214	494	1807
215	496	1802
216	498	1797
217	499	1792
218	501	1787
219	502	1781
220	503	1776
221	505	1770
222	506	1765
223	508	1759
224	509	1754
225	511	1750
226	512	1745
227	514	1741
228	515	1736
229	517	1731
230	518	1726
231	519	1720
232	521	1715
233	522	1710
234	524	1706
235	525	1701
236	527	1697
237	528	1692
238	529	1686
239	531	1681
240	532	1676
241	533	1671
242	534	1666
243	536	1661
244	537	1656
245	538	1651
246	540	1647
247	542	1643
248	543	1639
249	544	1634
250	546	1630
251	547	1625
252	548	1620
253	550	1616
254	551	1611
255	552	1606
256	581	1682
257	583	1678
258	587	1679
259	588	1675
260	590	1672
261	592	1668
262	593	1664
263	595	1659
264	597	1655
265	598	1651
266	600	1649
267	602	1645
268	604	1641
269	606	1638
270	607	1634
271	609	1630
272	610	1626
273	612	1623
274	614	1619
275	616	1617
276	618	1614
277	620	1610
278	621	1606
279	623	1603
280	625	1599
281	627	1596
282	629	1593
283	630	1590
284	632	1587
285	634	1584
286	636	1581
287	638	1577
288	639	1573
289	641	1570
290	642	1566
291	644	1562
292	646	1559
293	648	1556
294	649	1552
295	651	1548
296	652	1544
297	654	1541
298	655	1537
299	657	1533
300	659	1530
301	660	1526
302	662	1523
303	663	1519
304	665	1515
305	666	1511
306	667	1507
307	669	1503
308	670	1500
309	672	1496
310	673	1493
311	675	1490
312	677	1486
313	678	1482
314	680	1478
315	681	1475
316	683	1472
317	685	1469
318	686	1466
319	688	1463
320	690	1460
321	692	1457
322	693	1454
323	695	1451
324	697	1448
325	698	1445
326	700	1441
327	702	1438
328	703	1435
329	705	1431
330	706	1428
331	708	1424
332	709	1421
333	711	1418
334	712	1414
335	714	1411
336	715	1407
337	716	1403
338	718	1400
339	719	1397
340	721	1393
341	722	1390
342	724	1387
343	725	1384
344	727	1381
345	729	1378
346	730	1375
347	732	1372
348	734	1369
349	735	1366
350	737	1363
351	738	1359
352	740	1356
353	741	1353
354	742	1349
355	744	1346
356	745	1343
357	747	1340
358	749	1337
359	750	1334
360	751	1330
361	753	1327
362	754	1324
363	756	1321
364	757	1318
365	758	1314
366	760	1311
367	761	1308
368	763	1305
369	765	1302
370	766	1299
371	767	1296
372	769	1293
373	770	1290
374	772	1287
375	773	1283
376	774	1280
377	776	1277
378	778	1274
379	779	1272
380	781	1270
381	783	1267
382	784	1264
383	786	1261
384	787	1258
385	789	1255
386	790	1252
387	792	1249
388	794	1247
389	795	1244
390	797	1242
391	799	1239
392	800	1236
393	802	1234
394	803	1231
395	805	1228
396	807	1225
397	808	1223
398	810	1220
399	811	1217
400	813	1214
401	814	1212
402	816	1209
403	817	1206
404	819	1203
405	820	1201
406	822	1198
407	823	1195
408	825	1192
409	826	1189
410	828	1186
411	829	1184
412	831	1181
413	832	1178
414	834	1175
415	836	1173
416	837	1171
417	839	1168
418	840	1165
419	842	1163
420	843	1160
421	845	1157
422	846	1155
423	848	1152
424	850	1150
425	852	1148
426	853	1145
427	855	1143
428	856	1140
429	858	1137
430	859	1135
431	861	1132
432	863	1130
433	864	1127
434	866	1125
435	868	1122
436	869	1120
437	871	1117
438	872	1114
439	873	1112
440	875	1109
441	876	1107
442	878	1104
443	880	1102
444	882	1100
445	883	1097
446	885	1095
447	886	1092
448	888	1090
449	889	1087
450	891	1085
451	892	1082
452	894	1079
453	895	1077
454	897	1074
455	898	1072
456	900	1069
457	901	1066
458	902	1064
459	904	1061
460	905	1059
461	907	1056
462	909	1054
463	910	1052
464	912	1049
465	913	1047
466	915	1044
467	916	1042
468	918	1039
469	919	1036
470	921	1034
471	922	1032
472	924	1029
473	925	1027
474	927	1024
475	929	1022
476	930	1020
477	932	1018
478	933	1015
479	935	1013
480	937	1011
481	938	1008
482	940	1006
483	941	1004
484	943	1001
485	944	999
486	946	996
487	947	994
488	949	991
489	950	989
490	952	987
491	954	985
492	955	982
493	957	980
494	958	978
495	960	975
496	961	973
497	963	970
498	964	968
499	966	966
500	967	963
501	969	961
502	970	959
503	972	956
504	973	954
505	974	951
506	976	949
507	978	947
508	979	944
509	980	942
510	982	940
511	984	938
512	985	935
513	987	933
514	988	931
515	990	928
516	991	926
517	993	924
518	994	921
519	996	919
520	997	917
521	999	915
522	1000	912
523	1002	910
524	1003	908
525	1005	905
526	1006	903
527	1007	901
528	1009	898
529	1010	896
530	1012	894
531	1014	892
532	1015	889
533	1017	887
534	1018	885
535	1020	883
536	1021	881
537	1023	878
538	1024	876
539	1025	873
540	1027	871
541	1029	869
542	1031	867
543	1032	865
544	1034	863
545	1035	861
546	1037	859
547	1039	857
548	1040	854
549	1042	852
550	1044	850
551	1045	848
552	1047	846
553	1048	844
554	1050	841
555	1051	839
556	1052	837
557	1054	835
558	1055	832
559	1057	830
560	1058	828
561	1060	826
562	1061	824
563	1063	821
564	1064	819
565	1065	817
566	1067	815
567	1068	812
568	1070	810
569	1072	808
570	1073	806
571	1075	804
572	1077	802
573	1079	801
574	1080	798
575	1082	796
576	1083	794
577	1085	792
578	1089	792
579	1091	790
580	1092	788
581	1094	786
582	1096	784
583	1098	782
584	1099	780
585	1101	778
586	1103	776
587	1104	774
588	1106	772
589	1108	769
590	1109	767
591	1110	765
592	1112	763
593	1113	761
594	1115	759
595	1117	757
596	1118	755
597	1120	753
598	1121	751
599	1123	748
600	1124	746
601	1126	744
602	1127	742
603	1129	740
604	1131	738
605	1132	736
606	1134	734
607	1135	732
608	1137	730
609	1138	727
610	1139	725
611	1141	723
612	1142	721
613	1144	719
614	1146	717
615	1147	715
616	1149	713
617	1150	711
618	1152	709
619	1153	707
620	1155	705
621	1156	702
622	1157	700
623	1159	698
624	1160	696
625	1162	694
626	1163	692
627	1165	690
628	1166	687
629	1167	685
630	1169	683
631	1170	681
632	1172	679
633	1174	677
634	1175	675
635	1177	673
636	1179	671
637	1180	669
638	1181	667
639	1183	665
640	1184	663
641	1186	661
642	1187	659
643	1189	657
644	1190	655
645	1192	653
646	1193	651
647	1195	649
648	1196	647
649	1197	644
650	1199	642
651	1200	640
652	1201	638
653	1203	636
654	1204	634
655	1206	632
656	1207	630
657	1208	628
658	1210	626
659	1211	624
660	1213	622
661	1214	620
662	1216	618
663	1217	616
664	1219	614
665	1220	612
666	1222	610
667	1224	608
668	1225	606
669	1227	604
670	1228	602
671	1229	600
672	1231	598
673	1232	596
674	1234	594
675	1235	592
676	1237	590
677	1238	588
678	1240	586
679	1241	584
680	1243	582
681	1244	580
682	1245	578
683	1247	576
684	1249	574
685	1250	572
686	1251	570
687	1253	568
688	1254	566
689	1255	564
690	1257	562
691	1258	560
692	1259	558
693	1261	556
694	1262	554
695	1264	552
696	1265	550
697	1267	548
698	1268	546
699	1270	544
700	1271	542
701	1272	540
702	1274	538
703	1275	536
704	1276	534
705	1278	532
706	1280	530
707	1281	528
708	1283	526
709	1285	524
710	1286	522
711	1287	520
712	1289	518
713	1290	516
714	1291	514
715	1293	513
716	1294	511
717	1296	509
718	1297	507
719	1299	505
720	1300	503
721	1301	501
722	1303	499
723	1304	497
724	1305	495
725	1307	493
726	1308	491
727	1310	489
728	1311	487
729	1313	485
730	1314	483
731	1315	481
732	1317	479
733	1318	477
734	1319	475
735	1321	473
736	1322	471
737	1324	470
738	1325	468
739	1327	466
740	1328	464
741	1329	462
742	1331	460
